Date,Close
1/1/20,32.360001
2/1/20,26.690001
3/1/20,26.549999
4/1/20,31.5
5/1/20,42.189999
6/1/20,57.77
7/1/20,68.220001
8/1/20,76.669998
9/1/20,99.239998
10/1/20,110.209999
11/1/20,116.349998
12/1/20,151.720001
1/1/21,146.130005
2/1/21,120.470001
3/1/21,112.440002
4/1/21,98.349998
5/1/21,110.309998
6/1/21,124.019997
7/1/21,118.050003
8/1/21,100.190002
9/1/21,87.050003
10/1/21,91.440002
11/1/21,44
12/1/21,35.759998
1/1/22,27.33
2/1/22,29.059999
3/1/22,26.42
4/1/22,17.559999
5/1/22,12.34